,provstate,city,latitude,longitude,doubtterr,success,attacktype1_txt,targtype1_txt,natlty1_txt,gname,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,propvalue,INT_IDEO,INT_MISC,president_party,state_governor_party,date
0,Illinois,Cairo,37.005105,-89.17626899999999,0,1,Armed Assault,Police,United States,Black Nationalists,-99.0,-99.0,0.0,,Firearms,0,0.0,0.0,0.0,0.0,0.0,,-9,-9,Republican,Republican,1-1-1970
1,California,Oakland,37.791927,-122.22590600000001,1,1,Bombing/Explosion,Utilities,United States,Unknown,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,22500,-9,0,Republican,"Democrat, Republican",1-2-1970
2,Wisconsin,Madison,43.076592,-89.412488,0,1,Facility/Infrastructure Attack,Military,United States,New Year's Gang,1.0,1.0,1.0,Letter,Incendiary,0,0.0,0.0,0.0,0.0,0.0,60000,0,0,Republican,Republican,1-2-1970
3,Wisconsin,Madison,43.07295,-89.38669399999999,0,1,Facility/Infrastructure Attack,Government (General),United States,New Year's Gang,1.0,1.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,0,0,Republican,Republican,1-3-1970
4,Wisconsin,Baraboo,43.4685,-89.744299,1,0,Bombing/Explosion,Military,United States,"Weather Underground, Weathermen",,,,,Explosives,0,,,0.0,,,0,0,0,Republican,Republican,1-1-1970
5,Colorado,Denver,39.758967999999996,-104.876305,1,1,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,305,-9,0,Republican,Republican,1-6-1970
6,Michigan,Detroit,42.331685,-83.047924,0,1,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,1-9-1970
7,Puerto Rico,Rio Piedras,18.386932,-66.061127,1,1,Facility/Infrastructure Attack,Business,United States,Armed Commandos of Liberation,-99.0,-99.0,1.0,Unknown,Incendiary,0,0.0,0.0,0.0,0.0,0.0,2000000,0,0,Republican,New Progressive Party,1-9-1970
8,New York,New York City,40.697132,-73.931351,0,1,Bombing/Explosion,Educational Institution,United States,Black Nationalists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,1-12-1970
9,Puerto Rico,Rio Grande,18.379998,-65.83094799999999,0,1,Bombing/Explosion,Business,United States,Strikers,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,-9,Republican,New Progressive Party,1-12-1970
10,Washington,Seattle,47.610786,-122.33130600000001,0,1,Facility/Infrastructure Attack,Business,United States,Black Nationalists,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,17000,-9,0,Republican,Republican,1-13-1970
11,Illinois,Champaign,40.116748,-88.23926999999999,0,1,Facility/Infrastructure Attack,Police,United States,Black Nationalists,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,1.0,1.0,0.0,,-9,0,Republican,Republican,1-14-1970
12,Washington,Seattle,47.610786,-122.33130600000001,0,1,Bombing/Explosion,Educational Institution,United States,Black Nationalists,3.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,2200,-9,0,Republican,Republican,1-19-1970
13,Washington,Seattle,47.610786,-122.33130600000001,0,0,Bombing/Explosion,Military,United States,Student Radicals,2.0,2.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,1-19-1970
14,New Jersey,Jersey City,40.717892,-74.06746700000001,0,1,Facility/Infrastructure Attack,Violent Political Party,United States,White extremists,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,1-19-1970
15,Nebraska,South Sioux City,42.47031,-96.413949,0,1,Bombing/Explosion,Private Citizens & Property,United States,Strikers,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,1-22-1970
16,Mississippi,West Point,33.60651,-88.650419,1,1,Facility/Infrastructure Attack,Private Citizens & Property,United States,White extremists,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Democrat,1-25-1970
17,New York,New York City,40.697132,-73.931351,0,1,Armed Assault,Police,United States,Black Nationalists,-99.0,-99.0,0.0,,Firearms,0,0.0,0.0,2.0,2.0,0.0,,-9,0,Republican,Republican,1-25-1970
18,Mississippi,West Point,33.60651,-88.650419,0,1,Bombing/Explosion,Government (General),United States,Black Nationalists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Democrat,1-26-1970
19,New York,New York City,40.697132,-73.931351,0,1,Armed Assault,Police,United States,Black Nationalists,-99.0,-99.0,0.0,,Firearms,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,1-26-1970
20,Ohio,Norwalk,41.241996,-82.615241,0,1,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,8800,-9,0,Republican,Republican,1-27-1970
