"","id","provstate","city","latitude","longitude","doubtterr","success","attacktype1_txt","targtype1_txt","natlty1_txt","gname","nperps","nperpcap","claimed","claimmode_txt","weaptype1_txt","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","propvalue","INT_IDEO","INT_MISC","president_party","state_governor_party","date"
"1",0,"Illinois","Cairo",37.005105,-89.176269,FALSE,TRUE,"Armed Assault","Police","United States","Black Nationalists",NA,NA,FALSE,NA,"Firearms",0,0,0,0,0,0,NA,NA,NA,"Republican","Republican",1970-01-01
"2",1,"California","Oakland",37.791927,-122.225906,TRUE,TRUE,"Bombing/Explosion","Utilities","United States",NA,NA,NA,FALSE,NA,"Explosives",0,0,0,0,0,0,22500,NA,FALSE,"Republican","Democrat, Republican",1970-01-02
"3",2,"Wisconsin","Madison",43.076592,-89.412488,FALSE,TRUE,"Facility/Infrastructure Attack","Military","United States","New Year's Gang",1,1,TRUE,"Letter","Incendiary",0,0,0,0,0,0,60000,FALSE,FALSE,"Republican","Republican",1970-01-02
"4",3,"Wisconsin","Madison",43.07295,-89.386694,FALSE,TRUE,"Facility/Infrastructure Attack","Government (General)","United States","New Year's Gang",1,1,FALSE,NA,"Incendiary",0,0,0,0,0,0,NA,FALSE,FALSE,"Republican","Republican",1970-01-03
"5",4,"Wisconsin","Baraboo",43.4685,-89.744299,TRUE,FALSE,"Bombing/Explosion","Military","United States","Weather Underground, Weathermen",NA,NA,NA,NA,"Explosives",0,0,NA,0,NA,NA,0,FALSE,FALSE,"Republican","Republican",1970-01-01
"6",5,"Colorado","Denver",39.758968,-104.876305,TRUE,TRUE,"Facility/Infrastructure Attack","Military","United States","Left-Wing Militants",NA,NA,FALSE,NA,"Incendiary",0,0,0,0,0,0,305,NA,FALSE,"Republican","Republican",1970-01-06
"7",6,"Michigan","Detroit",42.331685,-83.047924,FALSE,TRUE,"Facility/Infrastructure Attack","Government (General)","United States","Left-Wing Militants",NA,NA,FALSE,NA,"Incendiary",0,0,0,0,0,0,NA,NA,FALSE,"Republican","Republican",1970-01-09
"8",7,"Puerto Rico","Rio Piedras",18.386932,-66.061127,TRUE,TRUE,"Facility/Infrastructure Attack","Business","United States","Armed Commandos of Liberation",NA,NA,TRUE,NA,"Incendiary",0,0,0,0,0,0,2e+06,FALSE,FALSE,"Republican","New Progressive Party",1970-01-09
"9",8,"New York","New York City",40.697132,-73.931351,FALSE,TRUE,"Bombing/Explosion","Educational Institution","United States","Black Nationalists",NA,NA,FALSE,NA,"Explosives",0,0,0,0,0,0,NA,NA,FALSE,"Republican","Republican",1970-01-12
"10",9,"Puerto Rico","Rio Grande",18.379998,-65.830948,FALSE,TRUE,"Bombing/Explosion","Business","United States","Strikers",NA,NA,FALSE,NA,"Explosives",0,0,0,0,0,0,NA,NA,NA,"Republican","New Progressive Party",1970-01-12
