"","id","provstate","city","latitude","longitude","doubtterr","success","attacktype1_txt","targtype1_txt","natlty1_txt","gname","claimed","weaptype1_txt","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","president_party","state_governor_party","date"
"1",0,"Illinois","Cairo",37.005105,-89.176269,FALSE,TRUE,"Armed Assault","Police","United States","Black Nationalists",FALSE,"Firearms",0,0,0,0,0,0,"Republican","Republican","1970-01-01"
"2",1,"California","Oakland",37.791927,-122.225906,TRUE,TRUE,"Bombing/Explosion","Utilities","United States",NA,FALSE,"Explosives",0,0,0,0,0,0,"Republican","Democrat, Republican","1970-01-02"
"3",2,"Wisconsin","Madison",43.076592,-89.412488,FALSE,TRUE,"Facility/Infrastructure Attack","Military","United States","New Year's Gang",TRUE,"Incendiary",0,0,0,0,0,0,"Republican","Republican","1970-01-02"
"4",3,"Wisconsin","Madison",43.07295,-89.386694,FALSE,TRUE,"Facility/Infrastructure Attack","Government (General)","United States","New Year's Gang",FALSE,"Incendiary",0,0,0,0,0,0,"Republican","Republican","1970-01-03"
"5",4,"Wisconsin","Baraboo",43.4685,-89.744299,TRUE,FALSE,"Bombing/Explosion","Military","United States","Weather Underground, Weathermen",FALSE,"Explosives",0,0,0,0,0,0,"Republican","Republican","1970-01-01"
"6",5,"Colorado","Denver",39.758968,-104.876305,TRUE,TRUE,"Facility/Infrastructure Attack","Military","United States","Left-Wing Militants",FALSE,"Incendiary",0,0,0,0,0,0,"Republican","Republican","1970-01-06"
"7",6,"Michigan","Detroit",42.331685,-83.047924,FALSE,TRUE,"Facility/Infrastructure Attack","Government (General)","United States","Left-Wing Militants",FALSE,"Incendiary",0,0,0,0,0,0,"Republican","Republican","1970-01-09"
"8",7,"Puerto Rico","Rio Piedras",18.386932,-66.061127,TRUE,TRUE,"Facility/Infrastructure Attack","Business","United States","Armed Commandos of Liberation",TRUE,"Incendiary",0,0,0,0,0,0,"Republican","New Progressive Party","1970-01-09"
"9",8,"New York","New York City",40.697132,-73.931351,FALSE,TRUE,"Bombing/Explosion","Educational Institution","United States","Black Nationalists",FALSE,"Explosives",0,0,0,0,0,0,"Republican","Republican","1970-01-12"
"10",9,"Puerto Rico","Rio Grande",18.379998,-65.830948,FALSE,TRUE,"Bombing/Explosion","Business","United States","Strikers",FALSE,"Explosives",0,0,0,0,0,0,"Republican","New Progressive Party","1970-01-12"
"11",10,"Washington","Seattle",47.610786,-122.331306,FALSE,TRUE,"Facility/Infrastructure Attack","Business","United States","Black Nationalists",FALSE,"Incendiary",0,0,0,0,0,0,"Republican","Republican","1970-01-13"
"12",11,"Illinois","Champaign",40.116748,-88.23927,FALSE,TRUE,"Facility/Infrastructure Attack","Police","United States","Black Nationalists",FALSE,"Incendiary",0,0,0,1,1,0,"Republican","Republican","1970-01-14"
"13",12,"Washington","Seattle",47.610786,-122.331306,FALSE,TRUE,"Bombing/Explosion","Educational Institution","United States","Black Nationalists",FALSE,"Explosives",0,0,0,0,0,0,"Republican","Republican","1970-01-19"
"14",13,"Washington","Seattle",47.610786,-122.331306,FALSE,FALSE,"Bombing/Explosion","Military","United States","Student Radicals",FALSE,"Explosives",0,0,0,0,0,0,"Republican","Republican","1970-01-19"
"15",14,"New Jersey","Jersey City",40.717892,-74.067467,FALSE,TRUE,"Facility/Infrastructure Attack","Violent Political Party","United States","White extremists",FALSE,"Incendiary",0,0,0,0,0,0,"Republican","Republican","1970-01-19"
"16",15,"Nebraska","South Sioux City",42.47031,-96.413949,FALSE,TRUE,"Bombing/Explosion","Private Citizens & Property","United States","Strikers",FALSE,"Explosives",0,0,0,0,0,0,"Republican","Republican","1970-01-22"
"17",16,"Mississippi","West Point",33.60651,-88.650419,TRUE,TRUE,"Facility/Infrastructure Attack","Private Citizens & Property","United States","White extremists",FALSE,"Incendiary",0,0,0,0,0,0,"Republican","Democrat","1970-01-25"
"18",17,"New York","New York City",40.697132,-73.931351,FALSE,TRUE,"Armed Assault","Police","United States","Black Nationalists",FALSE,"Firearms",0,0,0,2,2,0,"Republican","Republican","1970-01-25"
"19",18,"Mississippi","West Point",33.60651,-88.650419,FALSE,TRUE,"Bombing/Explosion","Government (General)","United States","Black Nationalists",FALSE,"Explosives",0,0,0,0,0,0,"Republican","Democrat","1970-01-26"
"20",19,"New York","New York City",40.697132,-73.931351,FALSE,TRUE,"Armed Assault","Police","United States","Black Nationalists",FALSE,"Firearms",0,0,0,0,0,0,"Republican","Republican","1970-01-26"
"21",20,"Ohio","Norwalk",41.241996,-82.615241,FALSE,TRUE,"Facility/Infrastructure Attack","Government (General)","United States","Left-Wing Militants",FALSE,"Incendiary",0,0,0,0,0,0,"Republican","Republican","1970-01-27"
"22",21,"Washington","Seattle",47.610786,-122.331306,TRUE,TRUE,"Bombing/Explosion","Religious Figures/Institutions","United States","White extremists",FALSE,"Explosives",0,0,0,0,0,0,"Republican","Republican","1970-01-28"
"23",22,"Nebraska","South Sioux City",42.479999,-96.413046,FALSE,TRUE,"Bombing/Explosion","Business","United States","Strikers",FALSE,"Explosives",0,0,0,0,0,0,"Republican","Republican","1970-01-30"
"24",23,"Nebraska","South Sioux City",42.46634,-96.41405,FALSE,TRUE,"Bombing/Explosion","Business","United States","Strikers",FALSE,"Explosives",0,0,0,0,0,0,"Republican","Republican","1970-01-30"
"25",24,"Florida","Coral Gables",25.720851,-80.277857,FALSE,TRUE,"Facility/Infrastructure Attack","Military","United States","Student Radicals",FALSE,"Incendiary",0,0,0,0,0,0,"Republican","Democrat, Republican","1970-01-30"
"26",25,"Colorado","Denver",39.758968,-104.876305,TRUE,TRUE,"Bombing/Explosion","Police","United States",NA,FALSE,"Explosives",0,0,0,0,0,0,"Republican","Republican","1970-01-31"
